pmid	id	set	pred
15793576	Q6U7R4	IMEx curated	
15793576	Q96D42	DSP mined	yes
15793576	Q96H15	DSP mined	yes
16282588	A0A087X1W2	DSP mined	no
16282588	A8K840	DSP mined	no
16282588	A8MUP8	DSP mined	no
16282588	B2R4R0	DSP mined	no
16282588	B4DI29	DSP mined	no
16282588	B4DPW8	DSP mined	no
16282588	B4E127	DSP mined	no
16282588	F1D8N9	DSP mined	no
16282588	H7C2I1	DSP mined	yes
16282588	H7C2I1	DSP mined	no
16282588	P03372	mined & curated	yes
16282588	P10276	DSP mined	no
16282588	P12931	DSP mined	no
16282588	P12931	DSP mined	yes
16282588	P19785	IMEx curated	
16282588	P52701	DSP mined	yes
16282588	P56581	IMEx curated	
16282588	P62805	DSP mined	yes
16282588	P62805	DSP mined	no
16282588	Q09472	DSP mined	yes
16282588	Q13569	mined & curated	yes
16282588	Q13569	mined & curated	no
16282588	Q15596	DSP mined	no
16282588	Q15596	DSP mined	yes
16282588	Q15788	mined & curated	no
16282588	Q15788	mined & curated	yes
16282588	Q6I9R7	DSP mined	no
16282588	Q7Z6C1	DSP mined	no
16282588	Q86UG4	DSP mined	no
16282588	Q86X55	DSP mined	no
16282588	Q86X55	DSP mined	yes
16282588	Q92831	DSP mined	no
16282588	Q92831	DSP mined	yes
16282588	Q99873	DSP mined	no
16282588	Q99873	DSP mined	yes
16282588	Q9BQG0	DSP mined	no
16282588	Q9BQG0	DSP mined	yes
16455647	A0A087WSV6	DSP mined	no
16455647	A0A087WSX8	DSP mined	no
16455647	A0A0B4J1W1	DSP mined	no
16455647	A8MVE2	DSP mined	no
16455647	D9IDM5	DSP mined	no
16455647	P01732	DSP mined	yes
16455647	P01732	DSP mined	no
16455647	P16104	IMEx curated	
16455647	P17693	mined & curated	no
16455647	P17693	mined & curated	yes
16455647	P61769	IMEx curated	
16455647	Q31611	DSP mined	no
16455647	Q5RJ85	DSP mined	no
16455647	Q6DU14	DSP mined	no
16455647	Q6ZVS2	DSP mined	no
16455647	Q8N423	IMEx curated	
16455647	Q8NHL6	mined & curated	no
16455647	Q8NHL6	mined & curated	yes
16455647	Q8TAW8	DSP mined	no
16951355	B4E0L1	DSP mined	no
16951355	O75144	IMEx curated	
16951355	P10747	DSP mined	no
16951355	Q53QY6	DSP mined	no
16951355	Q9Y6W8	mined & curated	no
17693435	A0A140VJS3	DSP mined	no
17693435	P28715	DSP mined	yes
17693435	P54727	DSP mined	yes
17693435	P55055	DSP mined	no
17693435	P55055	DSP mined	yes
17693435	P62195	mined & curated	no
17693435	P63165	DSP mined	no
17693435	P63279	DSP mined	no
17693435	Q01831	mined & curated	yes
17693435	Q01831	mined & curated	no
17693435	Q16531	DSP mined	yes
17693435	X5DRB1	DSP mined	no
17913746	A0A024R7I0	DSP mined	no
17913746	A0A024R7I1	DSP mined	no
17913746	A0A024R8E2	DSP mined	no
17913746	A0A140VJU7	DSP mined	no
17913746	A0AV47	DSP mined	no
17913746	A7E2X7	DSP mined	no
17913746	A8K2I7	DSP mined	no
17913746	A8K725	DSP mined	no
17913746	B4DT73	DSP mined	no
17913746	B4DW78	DSP mined	no
17913746	C9J020	DSP mined	no
17913746	D3DSZ4	DSP mined	no
17913746	E7EPP6	DSP mined	no
17913746	O14686	mined & curated	no
17913746	O14757	DSP mined	no
17913746	O14908	DSP mined	no
17913746	O15530	DSP mined	no
17913746	P00519	DSP mined	no
17913746	P05412	DSP mined	no
17913746	P08254	DSP mined	no
17913746	P08254	DSP mined	yes
17913746	P14921	DSP mined	no
17913746	P78317	DSP mined	no
17913746	Q01094	DSP mined	yes
17913746	Q03164	IMEx curated	
17913746	Q05BV8	DSP mined	no
17913746	Q13105	DSP mined	yes
17913746	Q59FG6	DSP mined	no
17913746	Q59FK4	DSP mined	no
17913746	Q6PIA1	DSP mined	no
17913746	Q7Z5J4	DSP mined	yes
17913746	Q7Z5J4	DSP mined	no
17913746	Q86UG4	DSP mined	no
17913746	Q92547	mined & curated	no
17913746	Q92547	mined & curated	yes
17913746	Q9BTE0	DSP mined	no
17913746	Q9UGU0	mined & curated	no
17913746	Q9UGU0	mined & curated	yes
17913746	Q9UMN6	IMEx curated	
17913746	W5ZR30	DSP mined	no
18003659	A0A024R5Z3	DSP mined	no
18003659	B0ZTD4	DSP mined	no
18003659	B7Z4T6	DSP mined	no
18003659	P08651	DSP mined	yes
18003659	P15172	DSP mined	yes
18003659	P15172	DSP mined	no
18003659	P15173	DSP mined	yes
18003659	P15173	DSP mined	no
18003659	P23512	IMEx curated	
18003659	P43699	mined & curated	no
18003659	P43699	mined & curated	yes
18003659	P55317	mined & curated	no
18003659	P55317	mined & curated	yes
18003659	P84022	mined & curated	no
18003659	P84022	mined & curated	yes
18003659	Q05195	DSP mined	no
18003659	Q15485	DSP mined	no
18003659	Q86UG4	DSP mined	no
18003659	Q9P0T0	DSP mined	no
18003659	Q9Y261	DSP mined	no
18003659	Q9Y261	DSP mined	yes
18281698	A0A024RAZ7	DSP mined	no
18281698	A0A024RB53	DSP mined	no
18281698	A8K4M5	DSP mined	no
18281698	O00505	IMEx curated	
18281698	O00567	IMEx curated	
18281698	O15131	IMEx curated	
18281698	O43390	IMEx curated	
18281698	O60506	IMEx curated	
18281698	O60563	mined & curated	yes
18281698	O60563	mined & curated	no
18281698	O60684	IMEx curated	
18281698	O60763	DSP mined	no
18281698	O75369	DSP mined	no
18281698	O76054	DSP mined	no
18281698	O94992	mined & curated	yes
18281698	O94992	mined & curated	no
18281698	O95104	IMEx curated	
18281698	O95232	IMEx curated	
18281698	P08621	IMEx curated	
18281698	P09651	DSP mined	yes
18281698	P19338	IMEx curated	
18281698	P22087	IMEx curated	
18281698	P38919	IMEx curated	
18281698	P50750	IMEx curated	
18281698	P52292	IMEx curated	
18281698	Q13573	IMEx curated	
18281698	Q15020	IMEx curated	
18281698	Q4G0J3	mined & curated	yes
18281698	Q4G0J3	mined & curated	no
18281698	Q7L2J0	mined & curated	yes
18281698	Q7L2J0	mined & curated	no
18281698	Q96MH2	mined & curated	no
18281698	Q96MH2	mined & curated	yes
18281698	Q9H3P2	IMEx curated	
18281698	Q9H6E5	IMEx curated	
18281698	Q9UBU9	DSP mined	no
18281698	Q9UHB9	IMEx curated	
18281698	Q9Y266	IMEx curated	
18281698	Q9Y295	IMEx curated	
18320024	A0A024R1S2	DSP mined	no
18320024	K9JA46	DSP mined	no
18320024	O95801	mined & curated	yes
18320024	O95801	mined & curated	no
18320024	P07900	DSP mined	yes
18320024	P08238	mined & curated	no
18320024	P08238	mined & curated	yes
18320024	P11142	IMEx curated	
18320024	P12270	DSP mined	no
18320024	P34932	DSP mined	yes
18320024	Q15185	DSP mined	no
18320024	Q86SX1	DSP mined	no
18320024	Q99741	mined & curated	no
18430226	O00327	DSP mined	yes
18430226	O00327	DSP mined	no
18430226	O08785	IMEx curated	
18430226	O15055	DSP mined	yes
18430226	O15055	DSP mined	no
18430226	O15516	DSP mined	no
18430226	O54943	IMEx curated	
18430226	P97784	IMEx curated	
18430226	Q16526	DSP mined	yes
18430226	Q3ZCT4	DSP mined	no
18430226	Q49AN0	DSP mined	yes
18430226	Q53EU0	DSP mined	no
18430226	Q5TD97	DSP mined	no
18430226	Q92793	DSP mined	yes
18430226	Q99JJ1	IMEx curated	
18430226	Q9NWQ8	DSP mined	no
18430226	Q9WTL8	IMEx curated	
18430226	Q9Y2S2	DSP mined	no
18559666	A0A024QZD5	DSP mined	no
18559666	B2R6F3	DSP mined	no
18559666	F8WCV4	DSP mined	no
18559666	P08621	mined & curated	no
18559666	P08621	mined & curated	yes
18559666	P0DN76	DSP mined	no
18559666	P26368	mined & curated	no
18559666	P26368	mined & curated	yes
18559666	P42345	DSP mined	no
18559666	P54793	DSP mined	no
18559666	P55036	DSP mined	no
18559666	P61011	DSP mined	no
18559666	P82979	mined & curated	yes
18559666	P82979	mined & curated	no
18559666	P84103	mined & curated	yes
18559666	P84103	mined & curated	no
18559666	Q01081	mined & curated	yes
18559666	Q01081	mined & curated	no
18559666	Q01130	mined & curated	yes
18559666	Q07955	mined & curated	yes
18559666	Q07955	mined & curated	no
18559666	Q14498	DSP mined	yes
18559666	Q59FA2	DSP mined	no
18559666	Q765I0	DSP mined	no
18559666	Q7Z780	DSP mined	no
18559666	Q8TF01	DSP mined	no
18559666	Q8TF01	DSP mined	yes
18559666	Q8WU68	DSP mined	no
18559666	Q8WU68	DSP mined	yes
18559666	Q96IZ7	DSP mined	no
18559666	Q96IZ7	DSP mined	yes
18559666	Q9UFS1	DSP mined	no
18559666	Q9UHX1	DSP mined	no
18660514	A0A1W2PPP2	DSP mined	no
18660514	A0A1W2PQQ0	DSP mined	no
18660514	A0A1W2PR07	DSP mined	no
18660514	P19544	DSP mined	no
18660514	P28482	DSP mined	no
18660514	Q01094	mined & curated	no
18660514	Q1HBJ4	DSP mined	no
18660514	Q499G7	DSP mined	no
18660514	Q6PI38	DSP mined	no
18660514	Q96IZ0	mined & curated	no
18660514	Q9NR28	DSP mined	no
19095693	A0A024R126	DSP mined	no
19095693	A0A087X1W2	DSP mined	no
19095693	A0A0A0MRA8	DSP mined	no
19095693	A0A0A0MSN7	DSP mined	no
19095693	A8K968	DSP mined	no
19095693	B2R4R0	DSP mined	no
19095693	B4DPW8	DSP mined	no
19095693	B7Z9U0	DSP mined	no
19095693	F5GXF0	DSP mined	no
19095693	H7C2I1	DSP mined	no
19095693	H7C2I1	DSP mined	yes
19095693	O60678	DSP mined	yes
19095693	O60678	DSP mined	no
19095693	P12004	DSP mined	no
19095693	P12931	DSP mined	no
19095693	P12931	DSP mined	yes
19095693	P22736	mined & curated	no
19095693	P22736	mined & curated	yes
19095693	P30279	DSP mined	no
19095693	P40763	DSP mined	no
19095693	P40763	DSP mined	yes
19095693	P41235	DSP mined	no
19095693	P61978	DSP mined	no
19095693	P62805	DSP mined	yes
19095693	P62805	DSP mined	no
19095693	Q01094	DSP mined	no
19095693	Q07666	DSP mined	no
19095693	Q07666	DSP mined	yes
19095693	Q12888	DSP mined	no
19095693	Q15596	mined & curated	no
19095693	Q15596	mined & curated	yes
19095693	Q15788	DSP mined	no
19095693	Q60749	IMEx curated	
19095693	Q6FII1	DSP mined	no
19095693	Q6ZMM6	DSP mined	no
19095693	Q7RTX0	DSP mined	no
19095693	Q8WUV3	DSP mined	no
19095693	Q99873	mined & curated	no
19095693	Q99873	mined & curated	yes
19095693	Q9BSD8	DSP mined	no
19095693	Q9UFF9	DSP mined	no
19095693	Q9Y2J2	DSP mined	no
19095693	Q9Y2J2	DSP mined	yes
19095693	Q9Y2Q3	DSP mined	no
19116655	O00161	DSP mined	yes
19116655	P01308	DSP mined	no
19116655	P14672	DSP mined	no
19116655	P63027	DSP mined	yes
19116655	P63045	IMEx curated	
19116655	Q08850	IMEx curated	
19116655	Q12846	DSP mined	yes
19116655	Q60770	IMEx curated	
19142223	A0A024R1N4	DSP mined	no
19142223	A0A087WYP9	DSP mined	no
19142223	A0A0S2Z5U8	DSP mined	no
19142223	A2A5R2	IMEx curated	
19142223	A6NFV8	DSP mined	no
19142223	B1AHC9	DSP mined	no
19142223	B4DE32	DSP mined	no
19142223	B4E356	DSP mined	no
19142223	D6RJC6	DSP mined	no
19142223	F5GYB0	DSP mined	no
19142223	O55143	IMEx curated	
19142223	P09874	IMEx curated	
19142223	P12956	mined & curated	yes
19142223	P12956	mined & curated	no
19142223	P13010	mined & curated	no
19142223	P13010	mined & curated	yes
19142223	P42704	IMEx curated	
19142223	P48962	IMEx curated	
19142223	P78527	mined & curated	no
19142223	Q03265	IMEx curated	
19142223	Q13367	mined & curated	no
19142223	Q80YE7	IMEx curated	
19142223	Q86UG4	DSP mined	no
19142223	Q8BMS1	IMEx curated	
19142223	Q91WZ8	IMEx curated	
19142223	Q96EV8	mined & curated	no
19142223	Q99JY0	IMEx curated	
19142223	Q9JME5	IMEx curated	
19503796	B7Z392	DSP mined	no
19503796	M0QYC5	DSP mined	no
19503796	O75182	DSP mined	no
19503796	P07199	DSP mined	yes
19503796	P16403	DSP mined	no
19503796	P49450	mined & curated	yes
19503796	P49450	mined & curated	no
19503796	Q03188	mined & curated	no
19503796	Q03188	mined & curated	yes
19503796	Q15485	DSP mined	no
19654328	A0A024R534	DSP mined	no
19654328	A0A024RC24	DSP mined	no
19654328	K9JA46	DSP mined	no
19654328	O09106	IMEx curated	
19654328	O35615	IMEx curated	
19654328	O60341	DSP mined	yes
19654328	O88712	IMEx curated	
19654328	O94776	mined & curated	yes
19654328	O94776	mined & curated	no
19654328	P07900	DSP mined	no
19654328	P15976	DSP mined	no
19654328	P15976	DSP mined	yes
19654328	P17679	IMEx curated	
19654328	P56545	DSP mined	yes
19654328	P56546	IMEx curated	
19654328	P61006	DSP mined	no
19654328	P70288	IMEx curated	
19654328	Q13363	DSP mined	yes
19654328	Q13363	DSP mined	no
19654328	Q13547	DSP mined	yes
19654328	Q60973	IMEx curated	
19654328	Q6IT96	DSP mined	no
19654328	Q6ZQ88	IMEx curated	
19654328	Q80YR6	IMEx curated	
19654328	Q86SX1	DSP mined	no
19654328	Q8IX07	DSP mined	yes
19654328	Q8IX07	DSP mined	no
19654328	Q8VHR5	IMEx curated	
19654328	Q9P2X3	DSP mined	no
19654328	Q9R190	IMEx curated	
19654328	Q9UKL0	DSP mined	yes
19654328	Q9Y6A5	DSP mined	yes
19917778	O95999	DSP mined	yes
19917778	P11274	DSP mined	no
19917778	P25942	DSP mined	yes
19917778	P25942	DSP mined	no
19917778	Q13114	mined & curated	no
19917778	Q13114	mined & curated	yes
19917778	Q2TBA3	IMEx curated	
19917778	Q60803	IMEx curated	
19917778	Q96RJ3	DSP mined	no
19917778	Q96RJ3	DSP mined	yes
19917778	Q9UDY8	mined & curated	no
19917778	Q9UDY8	mined & curated	yes
19917778	Q9ULW0	DSP mined	no
19917778	Q9Y275	DSP mined	yes
19917778	Q9Y275	DSP mined	no
20035625	A0A024RAY2	DSP mined	no
20035625	A0A087WT22	DSP mined	no
20035625	A0A087WXZ1	DSP mined	no
20035625	A0A087X1Q1	DSP mined	no
20035625	A0A140VJU7	DSP mined	no
20035625	B7Z7I2	DSP mined	no
20035625	C9J020	DSP mined	no
20035625	D3DSZ4	DSP mined	no
20035625	E5KQF5	DSP mined	no
20035625	E5KQF6	DSP mined	no
20035625	F1D8N3	DSP mined	no
20035625	F1D8N4	DSP mined	no
20035625	H2EHT1	DSP mined	no
20035625	K7PPA8	DSP mined	no
20035625	P01375	DSP mined	no
20035625	P03372	mined & curated	no
20035625	P03372	mined & curated	yes
20035625	P04150	DSP mined	no
20035625	P04637	DSP mined	no
20035625	P05783	mined & curated	no
20035625	P05783	mined & curated	yes
20035625	P08047	DSP mined	no
20035625	Q0PTK2	DSP mined	no
20035625	Q15628	DSP mined	no
20035625	Q15628	DSP mined	yes
20035625	Q53GA5	DSP mined	no
20035625	Q5STB3	DSP mined	no
20035625	Q7LCB3	DSP mined	no
20035625	Q86UG4	DSP mined	no
20035625	Q92731	DSP mined	no
20035625	Q9BQ69	mined & curated	no
20035625	Q9BQ69	mined & curated	yes
20179161	A4QPA9	DSP mined	no
20179161	B4DFY5	DSP mined	no
20179161	F8W9F9	DSP mined	no
20179161	H3BRW9	DSP mined	no
20179161	P04049	IMEx curated	
20179161	Q02750	mined & curated	no
20179161	Q13526	mined & curated	no
20179161	Q9Y3S1	DSP mined	no
20207734	A0A024R6R4	DSP mined	no
20207734	O75173	DSP mined	no
20207734	O95450	DSP mined	yes
20207734	O95450	DSP mined	no
20207734	P01033	DSP mined	yes
20207734	P08253	mined & curated	yes
20207734	P08253	mined & curated	no
20207734	P13497	mined & curated	no
20207734	P13497	mined & curated	yes
20207734	P30989	DSP mined	no
20207734	Q13201	DSP mined	no
20207734	Q15113	mined & curated	no
20207734	Q15113	mined & curated	yes
20406461	A0A0S2Z565	DSP mined	no
20406461	A0A0S2Z591	DSP mined	no
20406461	A0A140VJK4	DSP mined	no
20406461	A6NI47	DSP mined	no
20406461	B7Z1F9	DSP mined	no
20406461	O00165	mined & curated	no
20406461	O75821	mined & curated	no
20406461	P08263	DSP mined	no
20406461	P09211	DSP mined	no
20406461	P09488	DSP mined	no
20406461	P28161	DSP mined	no
20406461	P46199	DSP mined	no
20406461	P78539	mined & curated	no
20406461	Q05823	DSP mined	no
20406461	Q0D2I8	DSP mined	no
20406461	Q6FII1	DSP mined	no
20406461	Q6P1N2	DSP mined	no
20406461	Q7LGC8	DSP mined	no
20406461	Q86UG4	DSP mined	no
20406461	Q8NCG5	DSP mined	no
20406461	Q92754	DSP mined	no
20406461	Q9BRX2	mined & curated	no
20406461	Q9Y2Q3	DSP mined	no
20406461	V9HWE9	DSP mined	no
20406461	X5D932	DSP mined	no
20406461	X5DR03	DSP mined	no
20519495	O43323	IMEx curated	
20519495	Q13635	DSP mined	yes
20519495	Q14623	IMEx curated	
20519495	Q15465	DSP mined	yes
20519495	Q4KMG0	mined & curated	yes
20519495	Q62226	IMEx curated	
20519495	Q9BWV1	IMEx curated	
20526328	A0A0A0MRS8	DSP mined	no
20526328	B4DV51	DSP mined	no
20526328	O00139	DSP mined	yes
20526328	O00139	DSP mined	no
20526328	O15066	DSP mined	yes
20526328	P62826	DSP mined	no
20526328	Q16667	DSP mined	no
20526328	Q92973	mined & curated	no
20526328	Q9P2E2	mined & curated	no
20526328	Q9P2E2	mined & curated	yes
20526328	Q9UJA2	DSP mined	no
20526328	Q9Y496	DSP mined	yes
20565848	A0A024R230	DSP mined	no
20565848	A0A024R6S2	DSP mined	no
20565848	A0A024RC24	DSP mined	no
20565848	A0A024RDB2	DSP mined	no
20565848	A0A024RDE5	DSP mined	no
20565848	A0A087WSY1	DSP mined	no
20565848	A0A087WWU8	DSP mined	no
20565848	A0A0S2Z4G4	DSP mined	no
20565848	A0A0S2Z4I4	DSP mined	no
20565848	A0A0S2Z4Y3	DSP mined	no
20565848	A0A140VJU7	DSP mined	no
20565848	A0A1W2PRA3	DSP mined	no
20565848	B3KP83	DSP mined	no
20565848	B4DJN1	DSP mined	no
20565848	B4DQ80	DSP mined	no
20565848	B4DSS8	DSP mined	no
20565848	B4DSU5	DSP mined	no
20565848	B7Z7U4	DSP mined	no
20565848	C9J020	DSP mined	no
20565848	D3DSZ4	DSP mined	no
20565848	H3BQ19	DSP mined	no
20565848	L7RTG7	DSP mined	no
20565848	O15146	DSP mined	no
20565848	O15146	DSP mined	yes
20565848	O60760	DSP mined	no
20565848	O95193	DSP mined	no
20565848	P04629	DSP mined	no
20565848	P04629	DSP mined	yes
20565848	P06753	DSP mined	no
20565848	P08567	DSP mined	no
20565848	P16333	DSP mined	no
20565848	P16333	DSP mined	yes
20565848	P20783	mined & curated	yes
20565848	P20936	DSP mined	no
20565848	P20936	DSP mined	yes
20565848	P26599	DSP mined	no
20565848	P29353	DSP mined	no
20565848	Q14CB2	DSP mined	no
20565848	Q15256	DSP mined	no
20565848	Q16288	mined & curated	yes
20565848	Q16288	mined & curated	no
20565848	Q16620	DSP mined	no
20565848	Q16620	DSP mined	yes
20565848	Q18PE1	DSP mined	no
20565848	Q2MHE5	IMEx curated	
20565848	Q2TA81	DSP mined	no
20565848	Q3T906	DSP mined	no
20565848	Q548C2	DSP mined	no
20565848	Q59GK3	DSP mined	no
20565848	Q5VWE5	DSP mined	no
20565848	Q6PKX4	mined & curated	no
20565848	Q6PKX4	mined & curated	yes
20565848	Q6VNS1	IMEx curated	
20565848	Q7RTV2	DSP mined	no
20565848	Q7Z2V8	DSP mined	no
20565848	Q86UG4	DSP mined	no
20565848	Q8N1M3	DSP mined	no
20565848	Q8TEW6	DSP mined	no
20565848	Q8TEW6	DSP mined	yes
20565848	Q8WU20	DSP mined	no
20565848	Q92835	DSP mined	yes
20565848	Q92835	DSP mined	no
20565848	Q96CY4	DSP mined	no
20565848	Q99704	DSP mined	yes
20565848	Q99704	DSP mined	no
20565848	Q9H8W4	DSP mined	no
20565848	Q9P104	DSP mined	no
20565848	Q9P104	DSP mined	yes
20565848	Q9P2X3	DSP mined	no
20565848	Q9UKA9	DSP mined	no
20565848	Q9UN86	DSP mined	no
20565848	Q9UN86	DSP mined	yes
20565848	X5D2R1	DSP mined	no
20565848	X5D7M5	DSP mined	no
20565848	X5DNW6	DSP mined	no
20565848	X5DR71	DSP mined	no
20660480	A0A024QZQ1	DSP mined	no
20660480	A0A125SXW3	DSP mined	no
20660480	A8K128	DSP mined	no
20660480	A8KAF4	DSP mined	no
20660480	B0QZ35	DSP mined	no
20660480	D2KUA6	DSP mined	no
20660480	E9PC49	DSP mined	no
20660480	E9PFX5	DSP mined	no
20660480	G4XH65	DSP mined	no
20660480	H0Y4W6	DSP mined	no
20660480	P03372	DSP mined	yes
20660480	P03372	DSP mined	no
20660480	P09544	DSP mined	no
20660480	P37231	mined & curated	yes
20660480	P37231	mined & curated	no
20660480	Q09472	mined & curated	yes
20660480	Q09472	mined & curated	no
20660480	Q4W448	DSP mined	no
20660480	Q7RTV2	DSP mined	no
20660480	Q7Z6C1	DSP mined	no
20660480	Q96EB6	mined & curated	no
20660480	Q96EB6	mined & curated	yes
20660480	Q9BWC9	DSP mined	no
20660480	Q9UBT1	DSP mined	no
20972224	B2R4R0	DSP mined	no
20972224	P23025	DSP mined	yes
20972224	P55055	DSP mined	yes
20972224	P55055	DSP mined	no
20972224	P62805	DSP mined	yes
20972224	P62805	DSP mined	no
20972224	Q01094	mined & curated	yes
20972224	Q01094	mined & curated	no
20972224	Q01831	DSP mined	yes
20972224	Q02539	DSP mined	no
20972224	Q02539	DSP mined	yes
20972224	Q92830	mined & curated	no
20972224	Q92830	mined & curated	yes
20972224	Q9BSD8	DSP mined	no
21072212	A0A024R6K8	DSP mined	no
21072212	A0A024RBN1	DSP mined	no
21072212	A0A090N900	DSP mined	no
21072212	O70405	IMEx curated	
21072212	O75385	mined & curated	yes
21072212	O75385	mined & curated	no
21072212	P23381	DSP mined	no
21072212	P27348	mined & curated	no
21072212	P42345	mined & curated	yes
21072212	P49815	DSP mined	yes
21072212	P54619	IMEx curated	
21072212	P54646	mined & curated	yes
21072212	Q13131	IMEx curated	
21072212	Q13562	DSP mined	no
21072212	Q15382	DSP mined	no
21072212	Q8N122	mined & curated	no
21072212	Q8N122	mined & curated	yes
21072212	Q8TDY2	DSP mined	yes
21072212	Q9HD26	DSP mined	no
21072212	Q9Y478	mined & curated	no
21072212	Q9Y478	mined & curated	yes
21311754	A0A024RAE4	DSP mined	no
21311754	A0A024RAE6	DSP mined	no
21311754	A0A024RC65	DSP mined	no
21311754	A0A068F7M9	DSP mined	no
21311754	A8K5M4	DSP mined	no
21311754	B0LPE5	DSP mined	no
21311754	B2RTY4	IMEx curated	
21311754	B3KVH4	DSP mined	no
21311754	B3KXJ4	DSP mined	no
21311754	C9J1X3	DSP mined	no
21311754	I3L4C2	DSP mined	no
21311754	O00401	mined & curated	yes
21311754	O60343	IMEx curated	
21311754	O75569	IMEx curated	
21311754	P25054	IMEx curated	
21311754	P31321	IMEx curated	
21311754	P31749	DSP mined	yes
21311754	P31749	DSP mined	no
21311754	P33993	IMEx curated	
21311754	P43686	IMEx curated	
21311754	P46940	DSP mined	yes
21311754	P46940	DSP mined	no
21311754	P49841	DSP mined	yes
21311754	P49841	DSP mined	no
21311754	P60953	mined & curated	no
21311754	P60953	mined & curated	yes
21311754	P63000	IMEx curated	
21311754	Q03188	IMEx curated	
21311754	Q07912	mined & curated	yes
21311754	Q07912	mined & curated	no
21311754	Q13177	mined & curated	no
21311754	Q13177	mined & curated	yes
21311754	Q15326	IMEx curated	
21311754	Q15853	IMEx curated	
21311754	Q3UPH7	IMEx curated	
21311754	Q49A26	IMEx curated	
21311754	Q58EX7	IMEx curated	
21311754	Q69ZI1	IMEx curated	
21311754	Q6FHL8	IMEx curated	
21311754	Q6FI27	DSP mined	no
21311754	Q7Z7B0	IMEx curated	
21311754	Q8CIN4	IMEx curated	
21311754	Q8N3R9	IMEx curated	
21311754	Q8WTW3	IMEx curated	
21311754	Q92743	IMEx curated	
21311754	Q92845	DSP mined	no
21311754	Q92845	DSP mined	yes
21311754	Q96S59	IMEx curated	
21311754	Q9BYE7	IMEx curated	
21311754	Q9BYX2	IMEx curated	
21311754	Q9HCU9	IMEx curated	
21311754	Q9NPB6	mined & curated	no
21311754	Q9NPB6	mined & curated	yes
21311754	Q9NR80	DSP mined	no
